shop_id,weekend_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,total_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold_vs_average_month_sales,quantity_per_shop_vs_LEMONADE 500MLs_sold_vs_LEMONADE 1Ls_sold,december_customers_vs_NECTO 500MLs_sold_vs_ORANGE CRUSH 500MLs_sold,november_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,ncustomers_visited_morethan5_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,weekday_sales_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,quantity_per_shop_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,LEMONADE 500MLs_sold_vs_GINGER BEER 1Ls_sold_vs_NECTO 500MLs_sold,weekend_sales_vs_SODA 500MLs_sold_vs_NECTO 500MLs_sold,weekday_sales_vs_NECTO 500MLs_sold_vs_ORANGE CRUSH 500MLs_sold,december_customers_vs_FIT O ORANGE 1Ls_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,shop_area_sq_ft_vs_shop_area_sq_ft_vs_NECTO 500MLs_sold,BOTTLED DRINKING WATER 500MLs_sold_vs_NECTO 500MLs_sold,november_customers_vs_FIT O MIXED FRUIT 1Ls_sold_vs_FIT O MANGO 200MLs_sold,november_customers_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,ncustomers_visited_morethan10_vs_LEMONADE 500MLs_sold_vs_NECTO 500MLs_sold,october_sales_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,shop_area_sq_ft_vs_FIT O ORANGE 1Ls_sold_vs_GINGER BEER 500MLs_sold,weekend_sales_vs_FIT O ORANGE 1Ls_sold_vs_FIT O ORANGE 200MLs_sold,october_customers_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,weekend_sales_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,LEMONADE 500MLs_sold_vs_FIT O ORANGE 1Ls_sold_vs_NECTO 500MLs_sold,unique_customers_vs_NECTO 500MLs_sold_vs_LEMONADE 1Ls_sold,shop_area_sq_ft_vs_LEMONADE 500MLs_sold_vs_NECTO 500MLs_sold,FIT O MIXED FRUIT 1Ls_sold_vs_LEMONADE 500MLs_sold_vs_BOTTLED DRINKING WATER 500MLs_sold,TONIC PET 500MLs_sold_vs_BOTTLED DRINKING WATER 500MLs_sold_vs_BOTTLED DRINKING WATER 1.5Ls_sold,shop_area_sq_ft_vs_november_customers_vs_BOTTLED DRINKING WATER 1.5Ls_sold,ncustomers_visited_morethan5_vs_FIT O ORANGE 200MLs_sold_vs_NECTO 500MLs_sold,shop_profile
SHOP047,208448520,407349320,135783106.6666667,935088.0,217674,161540680.0,42140.0,198900800,3059364,52164.0,470567340,86234400,502068,5018112,4338,1058400.0,3150000.0,2898.0,529852500.0,1521168,1861147500,2587500.0,779085000,17802,267264.0,218592,116403,607320,10348800.0,157500.0,Moderate
SHOP009,5247161040,10618232240,3539410746.666667,6048240.0,5141848,3920478320.0,1015256.0,5371071200,78040160,1624556.0,12368063040,1559244100,17711936,24219728,45209,12067785.0,42239940.0,50244.0,5848525620.0,15879916,26474312520,31674072.0,10094522040,581993,1588728.0,2830412,5458347,7131080,106780960.0,1953156.0,High
SHOP083,3268154100,6124729200,2041576400.0,2826204.0,1143818,2381987400.0,617160.0,2856575100,41791740,517940.0,4193347365,367518595,8890440,13252304,14645,7499520.0,11262672.0,17719.0,1706279670.0,7799012,14216470335,8023140.0,2966026185,189457,661200.0,921388,1661450,2787600,60353280.0,560106.0,Low
SHOP117,6342058350,11966279400,3988759800.0000005,4878174.0,1870720,4605128100.0,1247130.0,5624221050,81975330,433048.0,9396745515,620719400,16950240,16908112,14874,17720964.0,19076904.0,28120.0,2869968640.0,6144164,21703933020,12945856.0,5389567260,209494,1582749.0,950456,1206804,10962540,101846160.0,1059828.0,Low
SHOP042,2895171840,5414595120,1804865040.0,3676728.0,605568,2128428720.0,522720.0,2519423280,38315376,225986.0,2329895520,175827520,8677152,8682544,9272,3365908.0,6852027.0,7942.0,950932710.0,9012432,11975483520,4953585.0,1723743840,95304,769538.0,488072,908656,3897168,58937736.0,311220.0,Low
SHOP034,1270481880,2518408140,839469380.0,954450.0,380016,934620120.0,232116.0,1247926260,17837610,31590.0,1187394480,129095820,3673488,4392648,7254,1427166.0,3830814.0,4374.0,552245850.0,2793570,4840974060,2832336.0,1001580840,42282,236160.0,240084,424359,2056912,27591876.0,182988.0,Low
SHOP100,16326020410,29587784450,9862594816.666666,7375284.0,2881032,11040349880.0,3448182.0,13261764040,199574046,724164.0,13574928150,874214880,43705006,15988938,23058,25218072.0,28083762.0,49728.0,4464613440.0,18881434,44491521270,20091960.0,8731980810,665112,1467648.0,1917636,4021974,9996741,151388971.0,1844262.0,Moderate
SHOP057,3423725200,6743121400,2247707133.3333335,1743320.0,142290,2709317200.0,947920.0,3319396200,49153120,139810.0,1199488500,48814650,9675720,1789290,3620,2985920.0,2721600.0,5330.0,405822150.0,6845832,9787826160,1875960.0,719693100,55760,132800.0,173430,638206,5323210,40269600.0,199260.0,Moderate
SHOP098,6056792000,11330256000,3776752000.0,4636800.0,1071840,4014024000.0,1332800.0,5273464000,72128000,217008.0,4401989900,362550650,15590400,10053472,11110,15699600.0,11525976.0,17424.0,1875584700.0,11924640,22485840300,7925742.0,3533489190,110880,904200.0,535392,1618020,3757200,95397120.0,777546.0,Low
SHOP123,1493662500,2928324000,976108000.0,607984.0,248688,1107777500.0,227200.0,1434661500,20753300,59436.0,927753750,80017740,4458800,9724050,5022,398034.0,2476656.0,3276.0,387223200.0,4998000,3534300000,1886976.0,636174000,46800,166896.0,343980,195858,1485675,42739515.0,96768.0,Moderate
